序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,284534413249,4921589,"TCY啦啦啦",6,保密,"25/12/26",2025-12-26 23:06:10,0,0,"",江苏,是,http://i2.hdslb.com/bfs/face/cf1ef9c2045e317dfe6dbe8659b6f7a69c7572d5.jpg
2,,283357675521,297325883,"杰一夏天",6,保密,"@狂人很浪",2025-12-14 13:07:42,0,0,"永远宠爱豆一一",四川,是,https://i2.hdslb.com/bfs/face/365e0cdc833359de6ff6668c035b7de35ea4d705.jpg
3,,285306083968,25128941,"徐晟衔",5,男,"2025年12月14日 今天我生日 又来看看[蹲蹲]",2025-12-14 10:57:10,0,0,"且陶陶  乐尽天真",江苏,是,https://i2.hdslb.com/bfs/face/8869b42492e68b79c2fdc53b15f9e7c4cdf89865.jpg
4,,283320746753,3632300434655389,"IchbineinPreuBe",2,保密,"[打call]很牛逼",2025-12-14 00:50:18,0,0,"",四川,是,https://i1.hdslb.com/bfs/face/62691d64f2760a4ee6f454edd68e968a21757684.jpg
5,,284577293296,1127188017,"AAA客串铁人BOMG",4,保密,"5202没错是我还在看",2025-12-06 22:30:19,0,0,"",江苏,否,https://i0.hdslb.com/bfs/face/3114ed3ec63598ba734bee7c8092b51f139de860.jpg
6,,283809074160,396409529,"不扫兴の派对客",5,男,"爽！",2025-11-29 10:09:42,0,0,"要多想",黑龙江,否,https://i2.hdslb.com/bfs/face/65fbaec939fee8cc534118bc1912e47ca971e0db.jpg
7,,283516475344,1090285733,"bili_11451424OwO",5,保密,"点进视频的你be like:",2025-11-26 01:19:15,0,8,"。。。",湖北,否,https://i2.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
8,,283397124752,2117392211,"-蛋小黄",4,男,"堵桥来",2025-11-24 19:31:57,0,1,"幸运总是站在我这一边",湖南,否,https://i2.hdslb.com/bfs/face/6d1e9738362c0a834db9727f5bb4cc0c72669c87.jpg
9,,283380135504,455806707,"希梦尔德",5,女,"@莲程远 @赛博土豆梦到电子锅 @hareleua @库库林----白夜 @阿欲还在赶单子 @老鱼饼66 @明月苓音BM",2025-11-24 16:15:14,3,0,"",日本,否,https://i0.hdslb.com/bfs/face/4d3075cccb184e7aa883292106c7ac35969a2a44.webp
10,283380135504,283392066480,646876017,"库库林----白夜",5,保密,"[鸣潮_嗯]",2025-11-24 18:40:37,0,0,"偶尔开开肉鸽，人菜瘾大",陕西,是,https://i0.hdslb.com/bfs/face/0d6e0f428127fbf2c3b2ea37471e6cfe087525e2.jpg
