序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,285490411472,1912366649,"林中医",5,保密,"先照顾好自己，节约资源，努力工作，再去管食品安全就可以带动成千上万的人离开这个时空。你不管就跟这些撒毒的人一样，死了不用同情，留在时空活该。
屠夫都是一个人，你的黑暗面。经受不住考验的人就会消失在历史的长河里[歪嘴]",2025-12-16 07:58:11,0,0,"黎明的?",安徽,否,https://i2.hdslb.com/bfs/face/d8948454640b0cf55b58f31c73262f454a8e1ee3.jpg
2,,284915781616,3546613488290317,"ArchonChao",4,男,"请问一下丁白樱最后死了吗？看了原片，里面只是给到了丁白樱看砍崩了的刀的画面，也许是和沈练一样被抓回去了？",2025-12-10 12:29:36,0,0,"",美国,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,,278721491841,405281158,"陈有为R",6,男,"把两部女主戏份除掉就好了",2025-10-26 00:01:52,0,0,"不定期更新街斗视频",广东,否,https://i1.hdslb.com/bfs/face/7877e6d04b28de609d5b91a7431f32585084b11c.jpg
4,,277065433120,67598145,"开心箫潇乐",6,男,"排这么详细没太有意义，沈炼为什么厉害？因为他血条厚啊，因为他有主角光环啊。打到一半要是寄了，电影拍啥？",2025-09-25 07:25:45,0,1,"开心的箫箫",海南,否,https://i0.hdslb.com/bfs/face/12a0f3b6e4f30b8a4aad6ca4218ce34bec32d546.jpg
5,,269962543888,3546757531175329,"哈集美哈气咯",4,女,"比巴拉明末渊虚之羽制作人[颂乐人偶_眯眼笑]",2025-07-25 07:56:45,0,1,"妳诞生的唯一目的就是给你娣娣挣彩礼",河北,否,https://i1.hdslb.com/bfs/face/375d085306faee74f93196b21aecc0f5726de1bc.jpg
6,,268032015649,7540152,"抚弦幽篁里",6,保密,"[藏狐]我也不知道戚继光怎么做到倭刀刀条中式装具的，中式的那是穿心铆接的刀柄，小鬼子的刀条刀柄那边就半截，打个洞塞目钉固定的，最多缠柄和刀鞘可以换。如果混用的话最多一匹直接倭刀另一批是在此基础上中式改造的单刀",2025-07-18 20:20:54,0,0,"你在哪呢？",上海,否,https://i0.hdslb.com/bfs/face/1d298044a6879375863f6c17ea4c6b5677f729a0.jpg
7,,266501935185,3546580428786093,"爱莉希雅占领世界",3,保密,"管他什么骑兵，直接润掉",2025-07-04 18:32:48,0,0,"",湖北,否,https://i0.hdslb.com/bfs/face/478202659e713b4ec8c00c74e9d808e2da3822f5.jpg
8,,260933454305,52229396,"o白花恋诗o",6,保密,"不好意思，第九名，我看成了魏延[藏狐]",2025-05-03 07:46:27,0,0,"https://space.bilibili.com/52229396/fans/followhttps://messa",广东,否,https://i2.hdslb.com/bfs/face/189d701792b1e269e0eaf551de472383141c9ff7.jpg
9,,259770226337,46383598,"理查布查德",6,保密,"丁修的刀有多重",2025-04-18 13:38:50,0,0,"将 1份R&B丝滑蛋白 + 2勺布鲁斯粗粝纤维素，
放在放克节拍催化下，于爵士即兴环境中恒温摇摆，
会产生具有神经毒性的抓耳旋律多肽。",贵州,否,https://i1.hdslb.com/bfs/face/029ac437f2e92adfce9ec2a57066187b6f75b744.jpg
10,,260340119504,2091718711,"雪糕仙人",4,保密,"没看到沈炼用天翔龙闪是真的失望[笑哭]",2025-04-14 11:40:47,0,0,"",天津,否,https://i1.hdslb.com/bfs/face/b613130a5d18263a6702dd69621379b36ce39882.jpg
11,,256061380000,1305885304,"bili_19702821321",5,保密,"为什么说是砍掉了不少女明星的武侠梦，而不是砍出呢？",2025-02-22 12:28:42,0,0,"",福建,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
