序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,284197560721,100855098,"爱漪漪宝",6,女,"[笑哭][笑哭]",2025-12-23 12:20:33,0,0,"相爱漪生",湖南,否,https://i0.hdslb.com/bfs/face/49184e8ffd65766181c24a2e0e80c586fdbd1b20.jpg
2,,286149023888,1631661107,"冬瓜_----",5,保密,"我骄傲",2025-12-22 20:05:21,0,4,"",河北,否,http://i2.hdslb.com/bfs/face/b80c02c81a49d5727ac261e31772de52260f67b1.jpg
3,,286136949504,1718011103,"奥斯卡世界经济",2,保密,"不赖[汤圆]",2025-12-22 18:03:05,0,0,"",河南,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,,284108554897,1417757297,"EVA丨桜流し",5,保密,"？嗯",2025-12-22 11:59:24,0,2,"",江苏,是,https://i2.hdslb.com/bfs/face/6461b057099c447365d5a49966aa84f5932d8c5a.jpg
5,,284089657393,506662588,"温柔的锂电池啊",6,男,"感谢祖国母亲的庇佑[OK]",2025-12-22 03:17:43,0,1,"哟。。。哟嚯！",加拿大,是,https://i1.hdslb.com/bfs/face/588038f7b1c131bb5b54b7b589d0c8835c169aed.jpg
6,,286037916784,3546885662968342,"typFFA",3,保密,"民族英雄，致敬[打call]",2025-12-21 17:29:51,1,5,"",安徽,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,286037916784,286108238448,18875525,"与暮OvO",6,保密,"我已成为哔哩哔哩第250429431位转正会员，挑战转正答题考试获得60分。",2025-12-22 11:58:52,0,0,"",山东,是,https://i2.hdslb.com/bfs/face/96b3e0dba4e014df16088f9f176654ca9a1bac33.jpg
8,,286037372912,313762428,"棒打今日橙",5,男,"世界需要警察",2025-12-21 17:23:17,0,2," ",云南,否,https://i0.hdslb.com/bfs/face/3851c240191b7624c02f0c21168f07a42681ae11.jpg
9,,284035367201,1506915098,"Shaft辕",5,男,"这裙子可不便宜呀[微笑]",2025-12-21 16:15:45,0,11,"万物皆有裂痕，那是光照进来的地方",安徽,是,https://i2.hdslb.com/bfs/face/ce2f7de2e8757f5f5796b5d3f566f8e981b65102.jpg
10,,286030733840,474504140,"禁止鉴证",6,男,"何意味是什么意思",2025-12-21 16:10:40,0,3,"何意味",浙江,否,https://i2.hdslb.com/bfs/face/09881e3b8a78febf34a40b46762fa91f0129ce65.jpg
