序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,284448455745,3546562410056256,"殖子",5,保密,"就像黑深残动漫的结局",2025-12-26 01:02:33,0,0,"塔咔gi桑咩！",浙江,否,https://i0.hdslb.com/bfs/face/13253f6be129ae53276e4fe35be8a743f80581bf.webp
2,,283745839809,1438396163,"WhiteHollow",4,保密,"诶诶诶",2025-12-18 18:28:53,0,0,"不要忘记12月",浙江,否,https://i2.hdslb.com/bfs/face/f59262a6f413c85ebfcd272c78661c17c1f05b94.jpg
3,,285575926368,1937533904,"坚定一个中国",5,男,"我又来了",2025-12-17 02:22:14,0,1,"打开我的主业请记得这句话：累了就好好休息，照顾好自己陌生人",云南,否,https://i2.hdslb.com/bfs/face/9d301919adc82ee2e7cf428cbf5a4058d3140eb4.jpg
4,,285247968080,8601118,"哈夫币回收专员",6,男,"本子国顶级智斗之安倍假死。",2025-12-13 19:18:47,0,3,"思想是不怕子弹的",江苏,是,https://i1.hdslb.com/bfs/face/d3ab66af5c15166b5fb46966c9bfbf9bda7d2720.jpg
5,,285087006816,3019118,"岚林的山猫",5,保密,"按时间顺序评论最没用的一集",2025-12-12 06:55:51,0,3,"有一条毛绒绒的大尾巴",广东,是,https://i2.hdslb.com/bfs/face/1517a396056325fd3216bb96621805d2850c58d0.jpg
6,,284932748912,3546378206710010,"我逍遥の冰龙呀",5,男,"事情没有这么简单，安倍晋三有可能是自导自演在装死",2025-12-10 16:14:04,0,1,"我小号粉丝太少，我还是上大号更新吧，每一个版本的下载连接都在每一个版本的最后一期视频简介里有下载连接",黑龙江,否,https://i2.hdslb.com/bfs/face/4254b88da961e02f32ba9de766037aaa31875e47.jpg
7,,282646847713,86193495,"烈阳新叶",6,女,"'晋三'和'心脏'，日语读音一模一样。都读しんぞう。名字文学感拉满了。",2025-12-06 22:43:11,0,5,"头像其实是会动的。想到什么就做什么，只要开心就好。头像和名字是2017年用到现在的。",吉林,否,https://i0.hdslb.com/bfs/face/beffb309931a6ce8b63e90683dfcb2530fbd8ee7.gif
8,,282404929233,278131097,"印一开",6,男,"向逝者悼观",2025-12-04 14:49:58,1,12,"ⓘ该账号封禁中",内蒙古,是,https://i2.hdslb.com/bfs/face/5a2f16c231dccc2905298973685cde95cf1a7db0.jpg
9,282404929233,284338766160,28098334,"Another_GHP",6,男,"那很有口味了",2025-12-04 17:23:23,0,1,"（只有番剧截图的原图，其他资源都没有）番剧截图UP；定期搬运galCG和插画；我的世界Hypixel服务器玩家，主玩街机",广东,否,https://i1.hdslb.com/bfs/face/50466112566722f05e297a563bf8821355d6034b.jpg
10,,282374611569,3546571276815194,"konata-I",4,保密,"怎么安倍才3岁啊，我以为5岁了",2025-12-04 07:14:05,0,9,"",浙江,否,https://i2.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg
