序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,271074140561,454805153,"M2布雷德利",5,保密,"王室",2025-08-12 19:35:39,0,4,"喜欢我的视频就来个三连，喜欢UP的就点个关注",广西,否,https://i2.hdslb.com/bfs/face/5e0f8987f33f4370006afc7b322f20c6dbd6e31e.jpg
2,,268881584753,551940386,"是墨岚吖",6,女,"差两年就超过路易十四了[doge_金箍]",2025-07-26 02:19:51,0,16,"黎明之前，最为黑暗",河北,是,https://i2.hdslb.com/bfs/face/653a270e5bb8c2ef199d4c7af71fa21187eb90ef.jpg
3,,263686958929,517428293,"海上明月共潮昇_",5,保密,"虽然我才不到20，但是感觉之后的岁月有人提起英国女王这个称号我脑海里浮现的还会是这位老太太",2025-06-05 13:01:55,0,45,"看到我请叫我滚去学习",福建,否,https://i2.hdslb.com/bfs/face/bebd25b09ce044de4c49b5e0ceff0946e71559c2.jpg
4,,262584216368,494736529,"用岁月换金钱",6,男,"日不落帝国，见证人，见证日落",2025-05-11 21:06:10,0,13,"朋友是一笔宝贵的财富，要常联系，多说说话。",江苏,是,https://i1.hdslb.com/bfs/face/06eb0e373f46563bf9cd489ceacda7505d792d01.webp
5,,261774434928,498581925,"hubterry",5,保密,"By the Grace of God, Queen of the United Kingdom of Great Britain and Northern Ireland and of Her other Realms and Territories, Head of the Commonwealth, Defender of the Faith, Elizabeth II.",2025-05-02 03:10:34,0,2,"好耶",浙江,是,https://i0.hdslb.com/bfs/face/d0d31d13c28396d88776424d14a4db13e59d9fb2.jpg
6,,257183054849,252902054,"祥子大王",6,保密,"2025年了",2025-03-17 03:49:16,0,21,"无天赋之人",福建,是,https://i2.hdslb.com/bfs/face/8d719a405539118a8cd27b04ba41c8409c4203c3.jpg
7,,224188486336,456314798,"夏目艾札克",6,男,"我之前以为她能活一百多岁呢",2024-06-01 16:02:12,0,101,"求知若渴，虚心若愚。",安徽,是,https://i2.hdslb.com/bfs/face/ad91bdfd32e7e7cb4c045d534dacddb165b7662f.jpg
8,,222955662832,1589934589,"外星使者_地球之友",5,男,"期待查理三号机的表现吧！",2024-05-24 17:22:09,0,37,"",美国,否,https://i1.hdslb.com/bfs/face/db5ca168a6f0cd5bd85a9ab2e46703c15694c5cd.jpg
9,,222554598656,8927111,"宇萌-祈",6,男,"也是经历过二战的风云人物了，又一位见证过历史进程的人走向了终点。",2024-05-21 22:35:33,0,44,"做更好的自己",甘肃,是,https://i2.hdslb.com/bfs/face/cb5450e95a51cd56e51a380eaa5c0c8d1c7cd7e1.jpg
10,,220609650608,431402980,"憩い",6,男,"贵族朋友？",2024-05-09 16:48:10,0,48,"",广西,否,https://i1.hdslb.com/bfs/face/a3a5e2eb2ce509ed46b7a9a5fa2e216179f98361.jpg
11,,220599790784,9499893,"哎呀不想学习了",5,保密,"像是代表一个时代的结束",2024-05-09 15:22:17,0,29,"",福建,否,https://i0.hdslb.com/bfs/face/e169ba778d0e40be0c4bc760e37baf4f9f579b62.jpg
12,,219767857776,1294207856,"一名网友罢了哈哈",4,男,"两年了...",2024-05-04 01:20:22,0,13,"没什么可说的",天津,是,https://i2.hdslb.com/bfs/face/62d59483b1abc26cdaa9b8524dc823291e04bbf4.jpg
13,,219484961296,58957251,"Amate-Yuzuriha",6,男,"人最重要的还是有独立的能力，不被定义或是定义他人，只是脚踏实地的靠每一个脚印来尽可能的尝试取得他人的认可。就是这位女王最了不起的地方了吧",2024-05-02 10:54:59,0,15,"你说得对，但是直径6.4公里的宇宙殖民卫星，每113.5秒就会转一圈，产生1G的离心力，宇宙不在他们的头顶而是在他们的脚下",辽宁,否,https://i0.hdslb.com/bfs/face/84ba220d372f8006337a2e309dc1b635147f6d38.jpg
14,,219123373248,496208547,"世界之山田",6,男,"英国很差劲但是女王值得尊敬",2024-04-29 23:00:40,0,54,"孤独摇滚二创区up",河北,是,https://i0.hdslb.com/bfs/face/11a17fe84419f4eadd84f4e032347f27901b84e9.jpg
15,,216780007280,3494381304679021,"爱抓羊羊羊",5,保密,"我孙子可能会觉得我是个老古董，居然跟伊丽莎白二世同在一个时代过。",2024-04-14 07:45:05,0,72,"",山东,否,https://i1.hdslb.com/bfs/face/a7cb549c33fec8320988350b3070d5fd7c37030a.jpg
16,,213254753648,37008588,"同志酱-喵",6,男,"感觉挺奇妙的，个人非常不喜欢大英帝国，但对女王的离去却感到很难过😔",2024-03-21 00:11:32,1,80,"我想睡觉",河南,是,https://i0.hdslb.com/bfs/face/0d389d0f0f4727dca5696f9847a41c0d0237a8cc.jpg
17,213254753648,219123415504,496208547,"世界之山田",6,男,"英国很差劲但是女王值得尊敬",2024-04-29 23:01:24,0,31,"孤独摇滚二创区up",河北,是,https://i0.hdslb.com/bfs/face/11a17fe84419f4eadd84f4e032347f27901b84e9.jpg
18,,212744750544,646561433,"mouldss",5,保密,"她的能力真的很强。。。",2024-03-17 13:19:57,0,10,"金合欢",北京,是,https://i2.hdslb.com/bfs/face/251953995a8851c0d4f60e7348a9ad92d67d2d31.jpg
19,,212085951072,15428311,"蔡潮苇",6,男,"贵族朋友自己一声拜拜",2024-03-12 20:32:18,0,11,"",广东,否,https://i1.hdslb.com/bfs/face/d03aba8b83eb18dce699c4622eb3886bab19e304.jpg
20,,210972233280,449111147,"刂风",4,保密,"没有伊丽莎白的王室已经垮了",2024-03-04 20:51:34,0,13,"",江西,否,https://i2.hdslb.com/bfs/face/dd586a18d20678403434dc7ddcd3f01b1a879d30.jpg
21,,210957831280,1315742140,"kihwbhsjw",5,保密,"女王好看",2024-03-04 19:03:36,0,2,"",内蒙古,否,https://i1.hdslb.com/bfs/face/19ee1b5975969a47ba085cd1f628d86a479b9950.jpg
22,,210676092768,3546577570368250,"账号已注销",,保密,"小时候听的那首歌《London Bridge is falling down》成真了[大哭][大哭]",2024-03-02 19:34:37,0,5,"",安徽,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,,208424302080,3546614704637980,"渥太华老李",4,男,"遗憾的是，她没有写书",2024-02-17 03:20:25,0,10,"",辽宁,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,,205697320368,409136515,"李悠穹",6,男,"24年了，要不是再次看到英国女王去世的视频我还以为她还活着。",2024-01-31 14:59:52,2,36,"杂食中立主义 成员：1
党员：李悠穹（临时主席）
党规：对一切cp给予尊重与认可无论你是不是杂食党对一切cp给予尊重与认可你都可以是我党党员",上海,是,https://i1.hdslb.com/bfs/face/8096e3ff53df1bc332f0de27a7bfb8b37103c11a.jpg
25,205697320368,206394520064,384340796,"叛乱zwt",6,保密,"确实",2024-02-04 19:41:12,0,0,"",辽宁,是,https://i2.hdslb.com/bfs/face/9ab8fff28895fc76357cda0f0cf6fbcacfb7569d.jpg
26,205697320368,208306057312,3546614704637980,"渥太华老李",4,男,"她要是写了跟二战有关的书籍，肯定会大卖一笔的",2024-02-16 12:47:07,0,5,"",辽宁,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
27,,204750085280,2126684922,"方天画棘",5,保密,"见证了大英的日落",2024-01-25 13:04:30,0,1,"最不像古生物爱好者的“普通网民”(ง ื▿ ื)ว",广东,否,https://i0.hdslb.com/bfs/face/e5673b6bc2741005e7b436079acbc2131630aec9.jpg
28,,202333250544,1563643698,"゙゙゙初音未来",5,保密,"再见了",2024-01-09 01:09:08,0,1,"少女的终末旅行还将继续，初音未来，虚无主义，反同性恋先锋",广西,是,https://i0.hdslb.com/bfs/face/094ca6e0833aa0695ada644013ff2dc7e96ca6a8.webp
