序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,278719505360,1556349748,"雪海赏梅",5,保密,"我爱我的祖国中国，祖国万岁！",2025-10-09 23:44:32,0,1,"与高士为友，以诗词涤魂",吉林,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,,275409179616,7374626,"我这个勤劳勇敢的中单",6,保密,"[doge]",2025-09-08 01:45:15,0,0,"",重庆,否,https://i2.hdslb.com/bfs/face/ba8b5db1c855c036e304a4dc96b3e267907f53b4.jpg
3,,275224744496,227037711,"深秋松木",6,女,"太有气场了",2025-09-06 11:41:16,0,0,"",广西,否,https://i0.hdslb.com/bfs/face/c586e78d463b4d904be0702910ee64b56f5da464.jpg
4,,274672406336,668636505,"yzznnccnt",5,保密,"助力千万！！！",2025-08-31 12:24:48,0,0,"",湖北,否,https://i0.hdslb.com/bfs/face/400a2a0e9320fbb22f3c8542012b0a6afccf20db.jpg
5,,274098114928,3493113687443913,"泡芙书屋",2,女,"这期视频的湖泊生态好静谧，陆地明珠！痘印电脑版看湖泊生态，保护湖泊环境。",2025-08-26 18:58:49,0,0,"就爱整点让up主莫名其妙的评论",江西,否,https://i0.hdslb.com/bfs/face/785af646985b18e0af37b971ce362034056818ea.jpg
6,,272808297536,3493086327998655,"sansanghost",3,保密,"帅炸啦[大哭][大哭][大哭]",2025-08-16 12:21:15,0,0,"",湖南,否,https://i0.hdslb.com/bfs/face/e472ca24d6d0137dd4fa5ad64e12ca09c62d0574.jpg
7,,269968152177,1299328884,"文明古国人",5,保密,"@老龙王在线 @LarryJoe44",2025-08-03 22:35:43,2,0,"这里是墨提斯情报屋_一号机
实时为您提供绳网资讯情报",湖北,否,https://i0.hdslb.com/bfs/face/6b926a44ac6aad285772799dcdfb91427321bbe2.jpg
8,269968152177,271200531296,1481392820,"老龙王在线",5,男,"嘶…是不是在什么课上看过",2025-08-03 22:51:29,0,1,"",湖北,是,https://i2.hdslb.com/bfs/face/e817759fa831b45b6d96409aa816cc9d47920eb3.jpg
9,271200531296,269970511217,1299328884,"文明古国人",5,保密,"回复 @老龙王在线 :哎！",2025-08-03 22:54:16,0,0,"这里是墨提斯情报屋_一号机
实时为您提供绳网资讯情报",湖北,否,https://i0.hdslb.com/bfs/face/6b926a44ac6aad285772799dcdfb91427321bbe2.jpg
10,,270280770384,3546887518947526,"fwhqsb",3,保密,"[打call][打call]",2025-07-27 18:13:23,0,0,"",浙江,否,https://i1.hdslb.com/bfs/face/b6d32453a3f7d9cb0b7b1367d253f1f5c775d09a.jpg
11,,268158593457,3546375801276797,"一个男孩纸balabala",5,女,"有点好奇这是即兴发言还是有稿子[doge_金箍]",2025-07-19 21:56:46,0,0,"",河南,否,https://i2.hdslb.com/bfs/face/679316f03f3e0fff11c348dfb5f93f9ec4b6477c.jpg
