序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,284983955088,25818042,"登天着-生生不息",6,保密,"我们，永远记住您们",2025-12-11 01:40:15,0,2,"初心高于胜负，成长胜于输赢",广东,是,https://i0.hdslb.com/bfs/face/c01f91841126a13a919f9de48998a28ab2fdf2d3.jpg
2,,281942406337,241177575,"Gacha-小龙观察studio",6,男,"默哀[保佑][保佑][保佑]",2025-11-29 16:48:20,0,20,"请记住我不是黑子
，而是我本人，你懂吗？
我是Gacha-小龙观察studio
(一个来自漳浦的UP)
(更是一名Gacha及其他圈的作者)",福建,否,https://i0.hdslb.com/bfs/face/68a6c9056f653f28abf2d5fee5eba7aa5017f2f0.jpg
3,,283576207696,674606020,"Kickedon",6,男,"致敬",2025-11-26 19:32:11,0,14,"死命相依，粉碎如镜。
（Vrc萌新，喜R爱好者罢了）
基本混多个圈子，神人一个说是
",黑龙江,否,https://i1.hdslb.com/bfs/face/ea39fd4b1cc50f23cc8b58af2296511c18430e1f.jpg
4,,281609971953,74621958,"技术很菜的磊哥",5,男,"这次就趁着他们那句“台湾有事就是日本有事”这个机会， 搞一下日本， 围钓鱼岛还是什么的， 有时候他们还真的不搞不怕咱们得",2025-11-25 21:42:27,0,13,"有着各种爱好的新人UP主， 全平台游戏玩家， 喜欢鼓捣电子产品， 晚上会在B站直播60帧最高画质高清游戏。",广东,是,https://i0.hdslb.com/bfs/face/a3d7de057708a4ead835923e5a439550b5f2dddd.jpg
5,,280723106865,495231577,"复合金属件加工公司",6,保密,"2025年在此纪念🕯",2025-11-15 23:23:05,0,35,"要开动脑筋，实事求是",海南,否,https://i1.hdslb.com/bfs/face/1bbc622ad54b04eb7951f5029fa45102ebc05a48.jpg
6,,280058724816,2126555637,"我只是一个标",5,男,"考古[笑哭]",2025-10-22 23:49:42,0,65,"每周六更新",湖南,否,https://i0.hdslb.com/bfs/face/f39dcb481877dd670b802dfde573da978c7b55c6.jpg
7,,278103077073,3493110682225567,"水云星ClanLeader",5,男,"[大哭]铭记",2025-10-19 14:03:49,0,28,"视频部分已删，全网6000+粉丝，生活，游戏，娱乐up主，别取关吖，一起加油",江苏,否,https://i1.hdslb.com/bfs/face/b13f96a7fc5365da4ba347a4d0913419aab3cb92.jpg
8,,278018313489,3546744268786572,"鼠鼠教官-暗区突围",3,保密,"我们希望你们你能看到",2025-10-18 19:03:46,0,33,"面对就好",重庆,否,https://i0.hdslb.com/bfs/face/d795fbe21eebcf300c976d429a8c6093f186ce84.jpg
9,,278007742721,28823475,"金の圣夜霜雪に朽ちて",6,男,"铭记2025年10月18",2025-10-18 17:25:04,0,23,"生活其实很简单，过了今天就是明天。",黑龙江,是,https://i0.hdslb.com/bfs/face/490d40d5fbea08283a8719bc8275967976b55239.jpg
10,,277999905153,1474280076,"風雲際會淺水遊",6,保密,"2025.10.18杨振宁RIP",2025-10-18 15:57:16,0,107,"ⓘ 该账号没被封禁",江西,否,https://i0.hdslb.com/bfs/face/8bbd2cbda8901726b314dff829ca852e3775a54c.jpg
11,,271174402769,1885289961,"火溶工作室",3,保密,"[大哭]",2025-08-13 15:52:45,0,53,"",上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,,272413265536,296489145,"82926679",5,保密,"新冠逝者",2025-08-13 11:37:41,0,22,"",浙江,是,https://i0.hdslb.com/bfs/face/f0bdb02b9cff224220bc2e363a1f1a29e710a1bc.jpg
