序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,286516934096,3546712681482506,"我是和森",4,保密,"好看",2025-12-26 15:52:05,0,0,"",宁夏,否,https://i2.hdslb.com/bfs/face/a6230fedb9c7f0405d315ebd8be8017873636bcd.jpg
2,,284393789585,592627293,"种花家太原舰",5,男,"贵州主打太热情了",2025-12-25 14:31:14,0,0,"兴趣爱好:音乐，军事，P站，动漫，碧蓝航线，少女前线
持续更新
",福建,否,https://i0.hdslb.com/bfs/face/869539d03d43ba343cd3b074b4671619951c4c99.jpg
3,,286051387904,3546946518125328,"平阳少女",3,女,"哈哈哈哈这是什么神奇的经历啊，开挖机环游全国居然在威宁遇上这种小插曲！想想你一个人在人生地不熟的地方处理这些事，肯定又懵又有点无奈吧，真的好希望身边能有个人，陪着你一起应对这些突发状况，顺便还能把这段奇遇变成两个人一起的独家回忆[给心心][给心心]",2025-12-21 19:42:13,0,0,"",广东,否,https://i0.hdslb.com/bfs/face/a98655b5471e13b3204607bb6fe7ead2bfbee679.jpg
4,,283811742513,472732656,"朝华似梦",6,保密,"公益确实有流量。这也是一件好事儿。大家都得益了。",2025-12-19 12:47:47,0,0,"老剧画质修复，打戏、颜值向剪辑调色为主。",四川,否,https://i0.hdslb.com/bfs/face/de90d6d8f6c6f09edaca027285c0ebbf87e7831f.jpg
5,,285677621440,388411813,"ZYH960837",6,男,"纯路人，我记得这类特种车辆不是禁止随意上路的吗？质量、碰撞安全性都和普通车不一样",2025-12-18 09:19:35,0,2,"",江苏,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,,285671329536,1107754832,"集英社舰团",5,保密,"投你2给硬币，补贴你点油钱，哈哈啊哈哈",2025-12-18 06:22:20,0,0,"",河南,否,http://i2.hdslb.com/bfs/face/075b4c10264b674687f4a12fe967946cacffa985.jpg
7,,283677996817,285694784,"凌空夜轩",6,男,"@Kuvoe",2025-12-17 22:24:35,0,0,"极北之地，诸神黄昏",湖南,是,https://i2.hdslb.com/bfs/face/dea3593dd26995241576efcc6b80db01975ebead.jpg
8,,283338897425,3546977696483674,"yucicjf",3,男,"有人注意到这路可以放音乐的吗",2025-12-14 09:35:38,0,0,"",河北,否,https://i1.hdslb.com/bfs/face/d5bab4def34948d7f506ecd96925db45fa310540.jpg
9,,285066371776,384736742,"璐子元",6,保密,"如果路上碰见了。我可能会从肤色认出来。",2025-12-11 22:47:59,0,0,"深度恐社患者",四川,是,http://i2.hdslb.com/bfs/face/0c9aaed2bb57cdb7b746c48f8f440ed23b6b62e4.jpg
10,,284716516288,504104511,"牛栏山-",6,保密,"什么时候接广啊，最近想换手机了，不知道盖什么被子，地有点脏，牙刷坏了，椅子坏了，头发爱出油，脖子有点酸，腰有点疼，皮肤还容易出油，手机流量也不够用，一个人生活久了还有点寂寞[脱单doge]",2025-12-08 10:04:57,0,2,"我很神秘，啥都没写。",广西,否,https://i0.hdslb.com/bfs/face/78b466741fd59b42e30b76aa655c0242273c5a1b.jpg
11,,282703697329,3632302502447661,"一只野生的迪奥Y",2,保密,"你这一路下来，油钱得花多少啊！我都不敢想。。。",2025-12-07 14:26:31,0,0,"",福建,否,https://i0.hdslb.com/bfs/face/b8ad98ae3d3b1d0d932179b9153082fb77ecc0a6.jpg
12,,284149939168,362817405,"枫之境界",5,男,"小何老师，向您学习！",2025-12-02 18:04:29,0,0,"",广东,否,https://i0.hdslb.com/bfs/face/1326ad87dee1ee9dfa5dae7b6245c2356d3d1936.jpg
13,,281693294561,200960071,"李威sax",6,男,"贵州让我刮目相看了，贵州人民原来这么善良",2025-11-26 21:14:14,0,1,"记得早先少年时，大家诚诚恳恳，说一句，是一句",广东,是,https://i1.hdslb.com/bfs/face/50baefa2615cc796ad35d535b37d33f415f26093.jpg
14,,283081924768,11020622,"饿断之剑",6,保密,"第一次刷到，看完很暖心，但您这标题没看过的以为贵州交警干了啥坏事一样[笑哭]",2025-11-21 15:56:05,0,0,"",上海,否,http://i2.hdslb.com/bfs/face/ac859dc5e24bfb7663148fdc99c1e3ee698731da.jpg
15,,281073540977,1975665187,"杖浩助枭362532",4,保密,"列队唱：乌蒙山连着山外山………",2025-11-19 22:12:48,0,0,"条件反射驱动行为，意识随之涌现、用于自我辩护的副产品。意识是物质系统涌现属性，原则上，任何系统只要实现了足够的功能组织，就拥有了意识。",天津,否,https://i1.hdslb.com/bfs/face/1d985359203a58101a0649931c299609bce78e5c.jpg
16,,282900834240,319619448,"莫兰斯特",6,保密,"这样搞一天油钱都要500吧",2025-11-19 14:16:58,0,0,"",广东,否,http://i2.hdslb.com/bfs/face/8992fa4d772ba1d746176a402bdb2d55171d4fb4.jpg
17,,282527621696,229562444,"59-2B式",3,男,"[doge]能问问阿婆主你为啥被抓吗？[doge]",2025-11-15 15:39:02,0,1,"我心向阳，无畏悲伤",广东,否,https://i2.hdslb.com/bfs/face/fdf44eec8d3e54c230bb587424c70275c5358cce.jpg
18,,280468727921,398945206,"Solitude豹",6,保密,"85岁之前都是青春啊",2025-11-13 10:47:19,0,1,"未填写",上海,是,https://i1.hdslb.com/bfs/face/f382af86580013c8801866455c472ff60881dbf1.jpg
19,,282264125280,1463393933,"BYFYCSY",5,保密,"点赞👍",2025-11-12 20:11:11,0,0,"",山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
20,,282173481632,1198958323,"小詩韻",3,保密,"完了完了  被逮住了[黎明觉醒_石化鸦][黎明觉醒_石化鸦][黎明觉醒_石化鸦][黎明觉醒_石化鸦][黎明觉醒_石化鸦]",2025-11-11 20:19:21,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/4ac92ea7c04d6ae7119c35e8e9b42979fb063aec.jpg
21,,280303738657,3546833857021998,"调皮崽说栓Q",4,男,"大好人",2025-11-11 13:01:08,0,0,"ec起床服务器250级萌新，材质包：minesnowPVP",北京,否,https://i0.hdslb.com/bfs/face/7430630e56b9da17267613657869c8adfabe8d96.jpg
22,,280285859297,453553457,"川西老费",5,保密,"典型的断人财路！还是断它们的财路！",2025-11-11 08:34:05,0,0,"",甘肃,否,https://i2.hdslb.com/bfs/face/65eda4618a7abb4fd0c72905e18c89cb5ddba3c5.jpg
